bird,audio,length,destination
bufpar,453900.wav,15.93475,/datasets/xeno_canto/491_all/453900.wav
bufpar,503398_2.wav,49.9409375,/datasets/xeno_canto/491_all/503398_2.wav
bufpar,702169.wav,59.799,/datasets/xeno_canto/491_all/702169.wav
bufpar,417421.wav,8.987188,/datasets/xeno_canto/491_all/417421.wav
bufpar,467090.wav,18.264,/datasets/xeno_canto/491_all/467090.wav
bufpar,361129.wav,20.062063,/datasets/xeno_canto/491_all/361129.wav
bufpar,185678.wav,14.184,/datasets/xeno_canto/491_all/185678.wav
bufpar,195074_0.wav,60.032,/datasets/xeno_canto/491_all/195074_0.wav
bufpar,38117.wav,13.818813,/datasets/xeno_canto/491_all/38117.wav
bufpar,457390_1.wav,51.145125,/datasets/xeno_canto/491_all/457390_1.wav
bufpar,457390_0.wav,60.032,/datasets/xeno_canto/491_all/457390_0.wav
bufpar,365325_1.wav,41.536,/datasets/xeno_canto/491_all/365325_1.wav
bufpar,172604.wav,23.3535,/datasets/xeno_canto/491_all/172604.wav
bufpar,517733_0.wav,60.032,/datasets/xeno_canto/491_all/517733_0.wav
bufpar,663682.wav,29.047875,/datasets/xeno_canto/491_all/663682.wav
bufpar,517733_1.wav,19.984,/datasets/xeno_canto/491_all/517733_1.wav
bufpar,273287.wav,46.08,/datasets/xeno_canto/491_all/273287.wav
bufpar,365325_0.wav,60.032,/datasets/xeno_canto/491_all/365325_0.wav
bufpar,273288.wav,16.143688,/datasets/xeno_canto/491_all/273288.wav
bufpar,273289.wav,11.598375,/datasets/xeno_canto/491_all/273289.wav
bufpar,30339.wav,7.884,/datasets/xeno_canto/491_all/30339.wav
bufpar,55676.wav,9.142875,/datasets/xeno_canto/491_all/55676.wav
bufpar,195074_1.wav,2.8708125,/datasets/xeno_canto/491_all/195074_1.wav
bufpar,457392.wav,13.714313,/datasets/xeno_canto/491_all/457392.wav
bufpar,572957.wav,42.73925,/datasets/xeno_canto/491_all/572957.wav
bufpar,60366.wav,58.68,/datasets/xeno_canto/491_all/60366.wav
bufpar,602715.wav,7.776,/datasets/xeno_canto/491_all/602715.wav
bufpar,591410.wav,15.85,/datasets/xeno_canto/491_all/591410.wav
bufpar,459546.wav,9.098875,/datasets/xeno_canto/491_all/459546.wav
bufpar,467520.wav,43.632,/datasets/xeno_canto/491_all/467520.wav
bufpar,381940.wav,26.815875,/datasets/xeno_canto/491_all/381940.wav
bufpar,147543.wav,19.14775,/datasets/xeno_canto/491_all/147543.wav
bufpar,573750.wav,37.694688,/datasets/xeno_canto/491_all/573750.wav
bufpar,698638.wav,9.408,/datasets/xeno_canto/491_all/698638.wav
bufpar,173373.wav,25.2495,/datasets/xeno_canto/491_all/173373.wav
bufpar,702049_1.wav,25.696,/datasets/xeno_canto/491_all/702049_1.wav
bufpar,457396.wav,23.09225,/datasets/xeno_canto/491_all/457396.wav
bufpar,457395.wav,18.964938,/datasets/xeno_canto/491_all/457395.wav
bufpar,144731.wav,32.368438,/datasets/xeno_canto/491_all/144731.wav
bufpar,248094.wav,10.92025,/datasets/xeno_canto/491_all/248094.wav
gwfgoo,625132_0.wav,60.032,/datasets/xeno_canto/491_all/625132_0.wav
gwfgoo,646024.wav,24.594,/datasets/xeno_canto/491_all/646024.wav
gwfgoo,604222.wav,21.691,/datasets/xeno_canto/491_all/604222.wav
gwfgoo,164602.wav,22.307375,/datasets/xeno_canto/491_all/164602.wav
gwfgoo,294804.wav,7.488,/datasets/xeno_canto/491_all/294804.wav
gwfgoo,164601.wav,10.506813,/datasets/xeno_canto/491_all/164601.wav
gwfgoo,536036_0.wav,60.032,/datasets/xeno_canto/491_all/536036_0.wav
gwfgoo,128219.wav,10.181938,/datasets/xeno_canto/491_all/128219.wav
gwfgoo,637156.wav,48.059313,/datasets/xeno_canto/491_all/637156.wav
gwfgoo,536036_1.wav,13.588,/datasets/xeno_canto/491_all/536036_1.wav
gwfgoo,700383_1.wav,1.1468125,/datasets/xeno_canto/491_all/700383_1.wav
gwfgoo,289485.wav,49.059063,/datasets/xeno_canto/491_all/289485.wav
gwfgoo,604229.wav,9.985,/datasets/xeno_canto/491_all/604229.wav
gwfgoo,700383_0.wav,60.032,/datasets/xeno_canto/491_all/700383_0.wav
gwfgoo,625132_1.wav,59.968,/datasets/xeno_canto/491_all/625132_1.wav
gwfgoo,625132_2.wav,1.70725,/datasets/xeno_canto/491_all/625132_2.wav
gwfgoo,519005.wav,6.478375,/datasets/xeno_canto/491_all/519005.wav
gwfgoo,684220.wav,21.679,/datasets/xeno_canto/491_all/684220.wav
gwfgoo,541042.wav,6.068,/datasets/xeno_canto/491_all/541042.wav
gwfgoo,129373.wav,12.943313,/datasets/xeno_canto/491_all/129373.wav
gwfgoo,124787.wav,26.483875,/datasets/xeno_canto/491_all/124787.wav
gwfgoo,700630.wav,9.31375,/datasets/xeno_canto/491_all/700630.wav
gwfgoo,612939.wav,34.899625,/datasets/xeno_canto/491_all/612939.wav
gwfgoo,542485_1.wav,10.375,/datasets/xeno_canto/491_all/542485_1.wav
gwfgoo,542485_0.wav,60.032,/datasets/xeno_canto/491_all/542485_0.wav
gwfgoo,604290.wav,16.509375,/datasets/xeno_canto/491_all/604290.wav
gwfgoo,434973.wav,6.139875,/datasets/xeno_canto/491_all/434973.wav
gwfgoo,636841.wav,25.448938,/datasets/xeno_canto/491_all/636841.wav
gwfgoo,700629.wav,14.308313,/datasets/xeno_canto/491_all/700629.wav
gwfgoo,434974.wav,15.308813,/datasets/xeno_canto/491_all/434974.wav
gwfgoo,434975.wav,6.610063,/datasets/xeno_canto/491_all/434975.wav
gwfgoo,434976.wav,22.779875,/datasets/xeno_canto/491_all/434976.wav
gwfgoo,595096.wav,20.380438,/datasets/xeno_canto/491_all/595096.wav
gwfgoo,612938_0.wav,60.032,/datasets/xeno_canto/491_all/612938_0.wav
gwfgoo,688515.wav,18.677938,/datasets/xeno_canto/491_all/688515.wav
gwfgoo,612938_1.wav,12.4839375,/datasets/xeno_canto/491_all/612938_1.wav
gwfgoo,675967.wav,21.067,/datasets/xeno_canto/491_all/675967.wav
gwfgoo,323081.wav,14.44575,/datasets/xeno_canto/491_all/323081.wav
gwfgoo,579979.wav,20.722313,/datasets/xeno_canto/491_all/579979.wav
gwfgoo,432001.wav,10.422875,/datasets/xeno_canto/491_all/432001.wav
gwfgoo,611930_0.wav,60.032,/datasets/xeno_canto/491_all/611930_0.wav
gwfgoo,612932.wav,36.649813,/datasets/xeno_canto/491_all/612932.wav
gwfgoo,595851.wav,20.319,/datasets/xeno_canto/491_all/595851.wav
gwfgoo,625120.wav,30.798875,/datasets/xeno_canto/491_all/625120.wav
gwfgoo,611930_1.wav,21.559625,/datasets/xeno_canto/491_all/611930_1.wav
gwfgoo,611931_0.wav,60.032,/datasets/xeno_canto/491_all/611931_0.wav
gwfgoo,612940.wav,25.573875,/datasets/xeno_canto/491_all/612940.wav
gwfgoo,542486.wav,59.169,/datasets/xeno_canto/491_all/542486.wav
gwfgoo,595870.wav,30.878,/datasets/xeno_canto/491_all/595870.wav
gwfgoo,611931_1.wav,10.20625,/datasets/xeno_canto/491_all/611931_1.wav
gwfgoo,645587.wav,23.837,/datasets/xeno_canto/491_all/645587.wav
gwfgoo,323104.wav,50.311875,/datasets/xeno_canto/491_all/323104.wav
gwfgoo,323103.wav,24.999188,/datasets/xeno_canto/491_all/323103.wav
gwfgoo,323085.wav,24.711875,/datasets/xeno_canto/491_all/323085.wav
gwfgoo,323113.wav,17.554313,/datasets/xeno_canto/491_all/323113.wav
gwfgoo,539576.wav,15.804063,/datasets/xeno_canto/491_all/539576.wav
gwfgoo,605190.wav,25.051438,/datasets/xeno_canto/491_all/605190.wav
gwfgoo,562575.wav,14.613,/datasets/xeno_canto/491_all/562575.wav
gwfgoo,128870.wav,11.33225,/datasets/xeno_canto/491_all/128870.wav
gwfgoo,629440_0.wav,60.032,/datasets/xeno_canto/491_all/629440_0.wav
gwfgoo,468912_0.wav,60.032,/datasets/xeno_canto/491_all/468912_0.wav
gwfgoo,629440_1.wav,0.7904375,/datasets/xeno_canto/491_all/629440_1.wav
gwfgoo,595771.wav,8.173438,/datasets/xeno_canto/491_all/595771.wav
gwfgoo,126054.wav,29.370438,/datasets/xeno_canto/491_all/126054.wav
gwfgoo,468912_1.wav,59.968,/datasets/xeno_canto/491_all/468912_1.wav
gwfgoo,504024.wav,30.850625,/datasets/xeno_canto/491_all/504024.wav
gwfgoo,468687.wav,19.121625,/datasets/xeno_canto/491_all/468687.wav
gwfgoo,502767.wav,15.000125,/datasets/xeno_canto/491_all/502767.wav
gwfgoo,468912_2.wav,9.7893125,/datasets/xeno_canto/491_all/468912_2.wav
gwfgoo,126034.wav,27.115438,/datasets/xeno_canto/491_all/126034.wav
gwfgoo,126020.wav,22.890625,/datasets/xeno_canto/491_all/126020.wav
gwfgoo,169310.wav,23.76,/datasets/xeno_canto/491_all/169310.wav
gwfgoo,128867.wav,20.294188,/datasets/xeno_canto/491_all/128867.wav
gwfgoo,680580.wav,21.067,/datasets/xeno_canto/491_all/680580.wav
gwfgoo,691728.wav,41.594125,/datasets/xeno_canto/491_all/691728.wav
gwfgoo,347454.wav,36.707313,/datasets/xeno_canto/491_all/347454.wav
gwfgoo,126046.wav,52.225063,/datasets/xeno_canto/491_all/126046.wav
gwfgoo,691727.wav,37.521,/datasets/xeno_canto/491_all/691727.wav
gwfgoo,358946_1.wav,57.1175625,/datasets/xeno_canto/491_all/358946_1.wav
gwfgoo,358943_9.wav,59.968,/datasets/xeno_canto/491_all/358943_9.wav
gwfgoo,604228.wav,10.047,/datasets/xeno_canto/491_all/604228.wav
gwfgoo,358943_7.wav,59.968,/datasets/xeno_canto/491_all/358943_7.wav
gwfgoo,358943_6.wav,60.032,/datasets/xeno_canto/491_all/358943_6.wav
gwfgoo,358943_5.wav,59.968,/datasets/xeno_canto/491_all/358943_5.wav
gwfgoo,346260.wav,20.305875,/datasets/xeno_canto/491_all/346260.wav
gwfgoo,594504.wav,11.350375,/datasets/xeno_canto/491_all/594504.wav
gwfgoo,692111.wav,8.464688,/datasets/xeno_canto/491_all/692111.wav
gwfgoo,347442_0.wav,60.032,/datasets/xeno_canto/491_all/347442_0.wav
gwfgoo,358946_0.wav,60.032,/datasets/xeno_canto/491_all/358946_0.wav
gwfgoo,595480.wav,22.192125,/datasets/xeno_canto/491_all/595480.wav
gwfgoo,347442_1.wav,5.180625,/datasets/xeno_canto/491_all/347442_1.wav
gwfgoo,540365.wav,39.038875,/datasets/xeno_canto/491_all/540365.wav
gwfgoo,595691.wav,8.357063,/datasets/xeno_canto/491_all/595691.wav
gwfgoo,502772.wav,29.962438,/datasets/xeno_canto/491_all/502772.wav
gwfgoo,358943_8.wav,60.032,/datasets/xeno_canto/491_all/358943_8.wav
gwfgoo,102096.wav,26.435938,/datasets/xeno_canto/491_all/102096.wav
gwfgoo,197592.wav,5.904375,/datasets/xeno_canto/491_all/197592.wav
gwfgoo,169484.wav,15.17,/datasets/xeno_canto/491_all/169484.wav
gwfgoo,432455.wav,10.031,/datasets/xeno_canto/491_all/432455.wav
gwfgoo,596051.wav,54.386938,/datasets/xeno_canto/491_all/596051.wav
gwfgoo,358943_4.wav,60.032,/datasets/xeno_canto/491_all/358943_4.wav
gwfgoo,125993_1.wav,38.214125,/datasets/xeno_canto/491_all/125993_1.wav
gwfgoo,597091.wav,39.009563,/datasets/xeno_canto/491_all/597091.wav
gwfgoo,130263.wav,32.018688,/datasets/xeno_canto/491_all/130263.wav
gwfgoo,680576.wav,45.322,/datasets/xeno_canto/491_all/680576.wav
gwfgoo,605189.wav,28.891438,/datasets/xeno_canto/491_all/605189.wav
gwfgoo,594767.wav,12.0,/datasets/xeno_canto/491_all/594767.wav
gwfgoo,522066.wav,8.672688,/datasets/xeno_canto/491_all/522066.wav
gwfgoo,537465.wav,28.029375,/datasets/xeno_canto/491_all/537465.wav
gwfgoo,676265.wav,52.94475,/datasets/xeno_canto/491_all/676265.wav
gwfgoo,432936.wav,33.648,/datasets/xeno_canto/491_all/432936.wav
gwfgoo,347198.wav,26.566563,/datasets/xeno_canto/491_all/347198.wav
gwfgoo,562524.wav,13.521,/datasets/xeno_canto/491_all/562524.wav
gwfgoo,562530.wav,19.449875,/datasets/xeno_canto/491_all/562530.wav
gwfgoo,562549.wav,7.368125,/datasets/xeno_canto/491_all/562549.wav
gwfgoo,597212.wav,42.96,/datasets/xeno_canto/491_all/597212.wav
gwfgoo,343164.wav,39.026938,/datasets/xeno_canto/491_all/343164.wav
gwfgoo,597219.wav,20.318625,/datasets/xeno_canto/491_all/597219.wav
gwfgoo,505631.wav,44.842,/datasets/xeno_canto/491_all/505631.wav
gwfgoo,505629.wav,39.741,/datasets/xeno_canto/491_all/505629.wav
gwfgoo,347197.wav,39.026938,/datasets/xeno_canto/491_all/347197.wav
gwfgoo,395189.wav,11.877,/datasets/xeno_canto/491_all/395189.wav
gwfgoo,358943_0.wav,60.032,/datasets/xeno_canto/491_all/358943_0.wav
gwfgoo,299492.wav,8.90775,/datasets/xeno_canto/491_all/299492.wav
gwfgoo,358943_3.wav,59.968,/datasets/xeno_canto/491_all/358943_3.wav
gwfgoo,165716.wav,7.497125,/datasets/xeno_canto/491_all/165716.wav
gwfgoo,347455.wav,49.013438,/datasets/xeno_canto/491_all/347455.wav
gwfgoo,125993_0.wav,60.032,/datasets/xeno_canto/491_all/125993_0.wav
gwfgoo,347456_0.wav,60.032,/datasets/xeno_canto/491_all/347456_0.wav
gwfgoo,594715.wav,25.887375,/datasets/xeno_canto/491_all/594715.wav
gwfgoo,347456_1.wav,7.170375,/datasets/xeno_canto/491_all/347456_1.wav
gwfgoo,358943_2.wav,60.032,/datasets/xeno_canto/491_all/358943_2.wav
gwfgoo,358943_14.wav,26.3145,/datasets/xeno_canto/491_all/358943_14.wav
gwfgoo,504103.wav,31.56,/datasets/xeno_canto/491_all/504103.wav
gwfgoo,470192_1.wav,4.168,/datasets/xeno_canto/491_all/470192_1.wav
gwfgoo,470192_0.wav,60.032,/datasets/xeno_canto/491_all/470192_0.wav
gwfgoo,358943_13.wav,59.968,/datasets/xeno_canto/491_all/358943_13.wav
gwfgoo,358943_12.wav,60.032,/datasets/xeno_canto/491_all/358943_12.wav
gwfgoo,358943_11.wav,59.968,/datasets/xeno_canto/491_all/358943_11.wav
gwfgoo,358943_10.wav,60.032,/datasets/xeno_canto/491_all/358943_10.wav
gwfgoo,112342.wav,8.698813,/datasets/xeno_canto/491_all/112342.wav
gwfgoo,358943_1.wav,59.968,/datasets/xeno_canto/491_all/358943_1.wav
gwfgoo,504088.wav,30.302063,/datasets/xeno_canto/491_all/504088.wav
gwfgoo,393159.wav,22.511688,/datasets/xeno_canto/491_all/393159.wav
gwfgoo,149152.wav,29.257125,/datasets/xeno_canto/491_all/149152.wav
gwfgoo,538830.wav,50.869438,/datasets/xeno_canto/491_all/538830.wav
gwfgoo,621432.wav,17.2805,/datasets/xeno_canto/491_all/621432.wav
gwfgoo,366277.wav,27.80575,/datasets/xeno_canto/491_all/366277.wav
gwfgoo,606288.wav,28.10775,/datasets/xeno_canto/491_all/606288.wav
gwfgoo,96532.wav,23.875938,/datasets/xeno_canto/491_all/96532.wav
gwfgoo,606287.wav,24.920813,/datasets/xeno_canto/491_all/606287.wav
gwfgoo,650579_0.wav,60.032,/datasets/xeno_canto/491_all/650579_0.wav
gwfgoo,650579_1.wav,4.94175,/datasets/xeno_canto/491_all/650579_1.wav
gwfgoo,349524_1.wav,29.9509375,/datasets/xeno_canto/491_all/349524_1.wav
gwfgoo,349524_0.wav,60.032,/datasets/xeno_canto/491_all/349524_0.wav
gwfgoo,406247.wav,47.616,/datasets/xeno_canto/491_all/406247.wav
gwfgoo,114347_1.wav,13.34625,/datasets/xeno_canto/491_all/114347_1.wav
gwfgoo,175674.wav,43.921,/datasets/xeno_canto/491_all/175674.wav
gwfgoo,349446.wav,39.755188,/datasets/xeno_canto/491_all/349446.wav
gwfgoo,606278.wav,35.84,/datasets/xeno_canto/491_all/606278.wav
gwfgoo,366289_0.wav,60.032,/datasets/xeno_canto/491_all/366289_0.wav
gwfgoo,685564.wav,10.009,/datasets/xeno_canto/491_all/685564.wav
gwfgoo,377213.wav,45.135063,/datasets/xeno_canto/491_all/377213.wav
gwfgoo,606259.wav,19.127,/datasets/xeno_canto/491_all/606259.wav
gwfgoo,552925.wav,16.565938,/datasets/xeno_canto/491_all/552925.wav
gwfgoo,462716.wav,5.296813,/datasets/xeno_canto/491_all/462716.wav
gwfgoo,312472.wav,30.072,/datasets/xeno_canto/491_all/312472.wav
gwfgoo,202772.wav,21.880688,/datasets/xeno_canto/491_all/202772.wav
gwfgoo,42013_1.wav,14.7304375,/datasets/xeno_canto/491_all/42013_1.wav
gwfgoo,42013_0.wav,60.032,/datasets/xeno_canto/491_all/42013_0.wav
gwfgoo,702210.wav,8.74075,/datasets/xeno_canto/491_all/702210.wav
gwfgoo,42011.wav,21.838375,/datasets/xeno_canto/491_all/42011.wav
gwfgoo,202771_1.wav,16.3139375,/datasets/xeno_canto/491_all/202771_1.wav
gwfgoo,202771_0.wav,60.032,/datasets/xeno_canto/491_all/202771_0.wav
gwfgoo,202770.wav,6.709625,/datasets/xeno_canto/491_all/202770.wav
gwfgoo,685574.wav,10.047,/datasets/xeno_canto/491_all/685574.wav
gwfgoo,603841_0.wav,60.032,/datasets/xeno_canto/491_all/603841_0.wav
gwfgoo,366289_1.wav,8.35725,/datasets/xeno_canto/491_all/366289_1.wav
gwfgoo,356670.wav,24.936813,/datasets/xeno_canto/491_all/356670.wav
gwfgoo,618690_0.wav,60.032,/datasets/xeno_canto/491_all/618690_0.wav
gwfgoo,28013.wav,17.397563,/datasets/xeno_canto/491_all/28013.wav
gwfgoo,420168_0.wav,60.032,/datasets/xeno_canto/491_all/420168_0.wav
gwfgoo,501044.wav,9.288,/datasets/xeno_canto/491_all/501044.wav
gwfgoo,462114.wav,25.12125,/datasets/xeno_canto/491_all/462114.wav
gwfgoo,138358_0.wav,60.032,/datasets/xeno_canto/491_all/138358_0.wav
gwfgoo,138358_1.wav,10.9949375,/datasets/xeno_canto/491_all/138358_1.wav
gwfgoo,246721.wav,34.944,/datasets/xeno_canto/491_all/246721.wav
gwfgoo,618684.wav,15.331875,/datasets/xeno_canto/491_all/618684.wav
gwfgoo,349707.wav,15.908563,/datasets/xeno_canto/491_all/349707.wav
gwfgoo,349705.wav,16.117563,/datasets/xeno_canto/491_all/349705.wav
gwfgoo,531861.wav,7.565688,/datasets/xeno_canto/491_all/531861.wav
gwfgoo,635799.wav,23.708,/datasets/xeno_canto/491_all/635799.wav
gwfgoo,90399.wav,23.118375,/datasets/xeno_canto/491_all/90399.wav
gwfgoo,513297.wav,38.472,/datasets/xeno_canto/491_all/513297.wav
gwfgoo,702491.wav,6.131188,/datasets/xeno_canto/491_all/702491.wav
gwfgoo,635791_1.wav,1.484,/datasets/xeno_canto/491_all/635791_1.wav
gwfgoo,635791_0.wav,60.032,/datasets/xeno_canto/491_all/635791_0.wav
gwfgoo,406248_1.wav,34.456,/datasets/xeno_canto/491_all/406248_1.wav
gwfgoo,600613.wav,16.944813,/datasets/xeno_canto/491_all/600613.wav
gwfgoo,406248_0.wav,60.032,/datasets/xeno_canto/491_all/406248_0.wav
gwfgoo,603677.wav,14.87325,/datasets/xeno_canto/491_all/603677.wav
gwfgoo,445830.wav,58.206875,/datasets/xeno_canto/491_all/445830.wav
gwfgoo,445767.wav,27.960625,/datasets/xeno_canto/491_all/445767.wav
gwfgoo,445707.wav,11.023688,/datasets/xeno_canto/491_all/445707.wav
gwfgoo,462459.wav,57.391,/datasets/xeno_canto/491_all/462459.wav
gwfgoo,462460.wav,17.266938,/datasets/xeno_canto/491_all/462460.wav
gwfgoo,462461.wav,15.177125,/datasets/xeno_canto/491_all/462461.wav
gwfgoo,702495.wav,48.437188,/datasets/xeno_canto/491_all/702495.wav
gwfgoo,390097.wav,35.112,/datasets/xeno_canto/491_all/390097.wav
gwfgoo,202769.wav,7.84975,/datasets/xeno_canto/491_all/202769.wav
gwfgoo,603841_1.wav,10.4725,/datasets/xeno_canto/491_all/603841_1.wav
gwfgoo,236311_1.wav,46.2375,/datasets/xeno_canto/491_all/236311_1.wav
gwfgoo,236311_0.wav,60.032,/datasets/xeno_canto/491_all/236311_0.wav
gwfgoo,626355_2.wav,14.345625,/datasets/xeno_canto/491_all/626355_2.wav
gwfgoo,424443.wav,18.142313,/datasets/xeno_canto/491_all/424443.wav
gwfgoo,424445.wav,19.08275,/datasets/xeno_canto/491_all/424445.wav
gwfgoo,424446.wav,17.182313,/datasets/xeno_canto/491_all/424446.wav
gwfgoo,650837_0.wav,60.032,/datasets/xeno_canto/491_all/650837_0.wav
gwfgoo,650837_1.wav,59.968,/datasets/xeno_canto/491_all/650837_1.wav
gwfgoo,650837_2.wav,21.912,/datasets/xeno_canto/491_all/650837_2.wav
gwfgoo,650841.wav,33.639125,/datasets/xeno_canto/491_all/650841.wav
gwfgoo,650847_0.wav,60.032,/datasets/xeno_canto/491_all/650847_0.wav
gwfgoo,650847_1.wav,42.4753125,/datasets/xeno_canto/491_all/650847_1.wav
gwfgoo,405451.wav,27.194563,/datasets/xeno_canto/491_all/405451.wav
gwfgoo,631890.wav,10.520188,/datasets/xeno_canto/491_all/631890.wav
gwfgoo,650851_0.wav,60.032,/datasets/xeno_canto/491_all/650851_0.wav
gwfgoo,626355_1.wav,59.968,/datasets/xeno_canto/491_all/626355_1.wav
